id,zona,brutoGramos,embalajeGramos,estado,modalidad
P001,Norte,1350,350,LISTO,NORMAL
P002,Sur,1425,425,LISTO,PRIORITARIO
P003,Centro,5750,750,LISTO,PRIORITARIO
P004,Norte,650,649,LISTO,PRIORITARIO
P005,Sur,30900,900,LISTO,NORMAL
P006,Centro,50000,20000,LISTO,NORMAL
P007,Norte,1751,750,LISTO,NORMAL
P008,Sur,5999,1000,LISTO,PRIORITARIO
P009,Centro,2201,1200,LISTO,PRIORITARIO
P010,Norte,12749,750,LISTO,NORMAL
P011,Norte,450,75,LISTO,NORMAL
P012,Sur,3000,150,LISTO,NORMAL
P013,Centro,12665,325,LISTO,NORMAL
P014,Norte,30599,600,LISTO,NORMAL
P015,Sur,1951,950,LISTO,NORMAL
P016,Centro,3499,1500,LISTO,PRIORITARIO
P017,Norte,5074,75,LISTO,PRIORITARIO
P018,Sur,649,150,LISTO,PRIORITARIO
P019,Centro,1326,325,LISTO,PRIORITARIO
P020,Sur,1149,150,LISTO,NORMAL
P021,Centro,5326,325,LISTO,NORMAL
P022,Norte,18601,600,LISTO,NORMAL
P023,Sur,1325,950,LISTO,NORMAL
P024,Centro,4350,1500,LISTO,NORMAL
P025,Norte,2076,75,LISTO,PRIORITARIO
P026,Sur,5150,150,LISTO,PRIORITARIO
P027,Centro,1324,325,LISTO,PRIORITARIO
P028,Norte,2599,600,LISTO,PRIORITARIO
P029,Centro,1326,325,LISTO,NORMAL
P030,Norte,8850,600,LISTO,NORMAL
P031,Sur,25949,950,LISTO,NORMAL
P032,Centro,2499,1500,LISTO,NORMAL
P033,Norte,5076,75,LISTO,NORMAL
P034,Sur,3640,150,LISTO,PRIORITARIO
P035,Centro,326,325,LISTO,PRIORITARIO
P036,Norte,1600,600,LISTO,PRIORITARIO
P037,Sur,2951,950,LISTO,PRIORITARIO
P038,Norte,3450,600,LISTO,NORMAL
P039,Sur,13290,950,LISTO,NORMAL
P040,Centro,31499,1500,LISTO,NORMAL
P041,Norte,1076,75,LISTO,NORMAL
P042,Sur,8400,150,LISTO,NORMAL
P043,Centro,5324,325,LISTO,PRIORITARIO
P044,Norte,1099,600,LISTO,PRIORITARIO
P045,Sur,1951,950,LISTO,PRIORITARIO
P046,Centro,4990,1500,LISTO,PRIORITARIO
P047,Sur,5951,950,LISTO,NORMAL
P048,Centro,19501,1500,LISTO,NORMAL
P049,Norte,450,75,LISTO,NORMAL
P050,Sur,3000,150,LISTO,NORMAL
P051,Centro,12665,325,LISTO,NORMAL
P052,Norte,5600,600,LISTO,PRIORITARIO
P053,Sur,1949,950,LISTO,PRIORITARIO
P054,Centro,3499,1500,LISTO,PRIORITARIO
P055,Norte,5074,75,LISTO,PRIORITARIO
P056,Centro,9750,1500,LISTO,NORMAL
P057,Norte,25074,75,LISTO,NORMAL
P058,Sur,1149,150,LISTO,NORMAL
P059,Centro,5326,325,LISTO,NORMAL
P060,Norte,18601,600,LISTO,NORMAL
P061,Sur,951,950,LISTO,PRIORITARIO
P062,Centro,2500,1500,LISTO,PRIORITARIO
P063,Norte,2076,75,LISTO,PRIORITARIO
P064,Sur,5150,150,LISTO,PRIORITARIO
P065,Norte,12415,75,LISTO,NORMAL
P066,Sur,30149,150,LISTO,NORMAL
P067,Centro,1326,325,LISTO,NORMAL
P068,Norte,8850,600,LISTO,NORMAL
P069,Sur,25949,950,LISTO,NORMAL
P070,Centro,1999,1500,LISTO,PRIORITARIO
P071,Norte,1076,75,LISTO,PRIORITARIO
P072,Sur,3640,150,LISTO,PRIORITARIO
P073,Centro,326,325,LISTO,PRIORITARIO
P074,Sur,18151,150,LISTO,NORMAL
P075,Centro,700,325,LISTO,NORMAL
P076,Norte,3450,600,LISTO,NORMAL
P077,Sur,13290,950,LISTO,NORMAL
P078,Centro,31499,1500,LISTO,NORMAL
P079,Norte,1074,75,LISTO,PRIORITARIO
P080,Sur,2149,150,LISTO,PRIORITARIO
P081,Centro,5324,325,LISTO,PRIORITARIO
P082,Norte,1099,600,LISTO,PRIORITARIO
P083,Centro,25324,325,LISTO,NORMAL
P084,Norte,1599,600,LISTO,NORMAL
P085,Sur,5951,950,LISTO,NORMAL
P086,Centro,19501,1500,LISTO,NORMAL
P087,Norte,450,75,LISTO,NORMAL
P088,Sur,1150,150,LISTO,PRIORITARIO
P089,Centro,2326,325,LISTO,PRIORITARIO
P090,Norte,5600,600,LISTO,PRIORITARIO
P091,Sur,1949,950,LISTO,PRIORITARIO
P092,Norte,30599,600,LISTO,NORMAL
P093,Sur,1951,950,LISTO,NORMAL
P094,Centro,9750,1500,LISTO,NORMAL
P095,Norte,25074,75,LISTO,NORMAL
P096,Sur,1149,150,LISTO,NORMAL
P097,Centro,1326,325,LISTO,PRIORITARIO
P098,Norte,4090,600,LISTO,PRIORITARIO
P099,Sur,951,950,LISTO,PRIORITARIO
P100,Centro,2500,1500,LISTO,PRIORITARIO
P101,Norte,0,0,CANCELADO,URGENTE
P102,Sur,mil,100,CANCELADO,
P103,Centro,5751,750,CANCELADO,PRIORITARIO
P104,Norte,1450,250,CANCELADO,NORMAL
P105,Sur,0,0,CANCELADO,URGENTE
P106,Centro,mil,100,CANCELADO,
P107,Norte,5751,750,CANCELADO,PRIORITARIO
P108,Sur,1450,250,CANCELADO,NORMAL
P109,Centro,0,0,CANCELADO,URGENTE
P110,Norte,mil,100,CANCELADO,
P111,Sur,5751,750,CANCELADO,PRIORITARIO
P112,Centro,1450,250,CANCELADO,NORMAL
P113,Norte,0,0,CANCELADO,URGENTE
P114,Sur,mil,100,CANCELADO,
P115,Centro,5751,750,CANCELADO,PRIORITARIO
P116,Norte,1450,250,CANCELADO,NORMAL
P117,Norte,5751,750,LISTO,PRIORITARIO
P118,Sur,501,500,LISTO,
P119,Centro,1100,100,LISTO,URGENTE
P120,Norte,1100,100,LISTO,prioritario
P121,Sur,31001,1000,LISTO,NORMAL
P122,Centro,50001,20001,LISTO,NORMAL
P123,Norte,0,0,LISTO,NORMAL
