id,zona,brutoGramos,embalajeGramos,estado
E01,Norte,1200,200,LISTO
E02,Sur,1700,200,LISTO
E03,Norte,3100,100,LISTO
E04,Centro,600,100,LISTO
E05,Sur,1101,100,LISTO
E06,Centro,30100,100,LISTO
E07,Norte,0,0,CANCELADO
E08,Sur,900,100,CANCELADO
E09,Centro,100,100,LISTO
E10,Norte,mil,100,LISTO
E11,Sur,900,100,PENDIENTE
E12,Centro,2100,100,LISTO
I013,Norte,1,0,LISTO
I014,Sur,1049,50,LISTO
I015,Centro,1100,100,LISTO
I016,Norte,1251,250,LISTO
I017,Sur,2499,500,LISTO
I018,Centro,2750,750,LISTO
I019,Norte,3201,1200,LISTO
I020,Sur,4999,0,LISTO
I021,Centro,5050,50,LISTO
I022,Norte,5101,100,LISTO
I023,Sur,7740,250,LISTO
I024,Centro,10500,500,LISTO
I025,Norte,15751,750,LISTO
I026,Sur,24250,1200,LISTO
I027,Centro,29999,0,LISTO
I028,Norte,30050,50,LISTO
I029,Sur,101,100,LISTO
I030,Centro,1249,250,LISTO
I031,Norte,1500,500,LISTO
I032,Sur,1751,750,LISTO
I033,Centro,3199,1200,LISTO
I034,Norte,2000,0,LISTO
I035,Sur,2051,50,LISTO
I036,Centro,5099,100,LISTO
I037,Norte,5250,250,LISTO
I038,Sur,5501,500,LISTO
I039,Centro,8240,750,LISTO
I040,Norte,11200,1200,LISTO
I041,Sur,15001,0,LISTO
I042,Centro,23100,50,LISTO
I043,Norte,30099,100,LISTO
I044,Sur,30250,250,LISTO
I045,Norte,0,0,CANCELADO
I046,Sur,mil,100,CANCELADO
I047,Centro,50001,0,CANCELADO
I048,Norte,850,50,CANCELADO
I049,Norte,30101,100,LISTO
I050,Sur,50001,20001,LISTO
I051,Centro,0,0,LISTO
I052,Norte,500,500,LISTO
I053,Sur,500,501,LISTO
I054,Centro,1000,-1,LISTO
I055,Norte,mil,100,LISTO
I056,Sur,1000,cien,LISTO
I057,,1000,0,LISTO
I058,Centro,1000,0,PENDIENTE
I059,Norte,1000,0
I060,Sur,1000,0,LISTO,extra
